# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/all_enh_broad.bed data/fantom_enh/cgi_analysis/all_enh_broad_gc-neg0.bed 2016-12-08 12:03:30.319720
#
#
#

spectrum6
F1                   0.798 (10)
WRACC                0.581 (10)
accuracy             0.790 (10)
balanced_err         0.210 (10)
cross_corr           0.583 (10)
error_rate           0.210 (10)
pr_auc               0.858 (10)
precision            0.769 (10)
recall               0.830 (10)
roc_auc              0.872 (10)
specificity          0.751 (10)

