# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/all_enh_broad.bed data/fantom_enh/cgi_analysis/all_enh_broad_rand-neg0.bed 2016-12-08 11:11:36.122305
#
#
#

spectrum6
F1                   0.857 (10)
WRACC                0.715 (10)
accuracy             0.858 (10)
balanced_err         0.142 (10)
cross_corr           0.716 (10)
error_rate           0.142 (10)
pr_auc               0.921 (10)
precision            0.860 (10)
recall               0.855 (10)
roc_auc              0.927 (10)
specificity          0.860 (10)

