# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/all_prom_broad_s_600.bed data/fantom_prom/all_prom_narr_600.bed 2018-11-30 14:36:51.304769
#
#
#

spectrum6
F1                   0.937 (10)
WRACC                0.870 (10)
accuracy             0.935 (10)
balanced_err         0.065 (10)
cross_corr           0.872 (10)
error_rate           0.065 (10)
pr_auc               0.969 (10)
precision            0.907 (10)
recall               0.970 (10)
roc_auc              0.975 (10)
specificity          0.900 (10)

