# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/all_prom_broad.bed data/fantom_prom/all_prom_broad_gc-neg0.bed 2018-11-30 14:34:27.488552
#
#
#

spectrum6
F1                   0.901 (10)
WRACC                0.788 (10)
accuracy             0.894 (10)
balanced_err         0.106 (10)
cross_corr           0.796 (10)
error_rate           0.106 (10)
pr_auc               0.920 (10)
precision            0.847 (10)
recall               0.963 (10)
roc_auc              0.945 (10)
specificity          0.825 (10)

