# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/promoters/noncgi_enh_broad_600.bed data/promoters/noncgi_enh_narr_600.bed 2016-09-28 13:43:51.351081
#
#
#

spectrum6
F1                   0.747 (10)
WRACC                0.496 (10)
accuracy             0.748 (10)
balanced_err         0.252 (10)
cross_corr           0.497 (10)
error_rate           0.252 (10)
pr_auc               0.821 (10)
precision            0.753 (10)
recall               0.742 (10)
roc_auc              0.825 (10)
specificity          0.754 (10)

