# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/promoters/noncgi_prom_broad_600.bed data/promoters/noncgi_prom_narr_600.bed 2016-09-28 13:39:37.056873
#
#
#

spectrum6
F1                   0.863 (10)
WRACC                0.743 (10)
accuracy             0.872 (10)
balanced_err         0.128 (10)
cross_corr           0.756 (10)
error_rate           0.128 (10)
pr_auc               0.949 (10)
precision            0.912 (10)
recall               0.833 (10)
roc_auc              0.947 (10)
specificity          0.910 (10)

