# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/promoters/cgi_enh_broad.bed data/promoters/cgi_enh_broad_gc-neg0.bed 2016-10-04 09:03:18.132602
#
#
#

spectrum6
F1                   0.817 (10)
WRACC                0.598 (10)
accuracy             0.799 (10)
balanced_err         0.201 (10)
cross_corr           0.614 (10)
error_rate           0.201 (10)
pr_auc               0.821 (10)
precision            0.754 (10)
recall               0.897 (10)
roc_auc              0.860 (10)
specificity          0.700 (10)

