# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/promoters/noncgi_prom_broad.bed data/promoters/noncgi_prom_broad_gc-neg0.bed 2016-10-04 09:06:14.469248
#
#
#

spectrum6
F1                   0.848 (10)
WRACC                0.675 (10)
accuracy             0.838 (10)
balanced_err         0.163 (10)
cross_corr           0.687 (10)
error_rate           0.163 (10)
pr_auc               0.890 (10)
precision            0.807 (10)
recall               0.900 (10)
roc_auc              0.909 (10)
specificity          0.775 (10)

