# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/cgi_enh_broad_s_600.bed data/fantom_enh/cgi_analysis/cgi_enh_narr_600.bed 2016-12-08 12:35:58.164622
#
#
#

spectrum6
F1                   0.642 (10)
WRACC                0.403 (10)
accuracy             0.702 (10)
balanced_err         0.298 (10)
cross_corr           0.427 (10)
error_rate           0.298 (10)
pr_auc               0.816 (10)
precision            0.787 (10)
recall               0.563 (10)
roc_auc              0.727 (10)
specificity          0.840 (10)

