# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/cgi_enh_broad.bed data/fantom_enh/cgi_analysis/cgi_enh_broad_rand-neg0.bed 2016-12-08 12:07:39.492028
#
#
#

spectrum6
F1                   0.954 (10)
WRACC                0.911 (10)
accuracy             0.956 (10)
balanced_err         0.044 (10)
cross_corr           0.913 (10)
error_rate           0.044 (10)
pr_auc               0.988 (10)
precision            0.978 (10)
recall               0.933 (10)
roc_auc              0.992 (10)
specificity          0.978 (10)

