# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/cgi_prom_broad_s_600.bed data/fantom_prom/cgi_prom_narr_600.bed 2016-12-08 12:41:39.686150
#
#
#

spectrum6
F1                   0.721 (10)
WRACC                0.494 (10)
accuracy             0.747 (10)
balanced_err         0.253 (10)
cross_corr           0.505 (10)
error_rate           0.253 (10)
pr_auc               0.848 (10)
precision            0.809 (10)
recall               0.653 (10)
roc_auc              0.844 (10)
specificity          0.841 (10)

