# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/cgi_prom_broad.bed data/fantom_prom/cgi_prom_broad_gc-neg0.bed 2016-12-08 12:16:18.307844
#
#
#

spectrum6
F1                   0.904 (10)
WRACC                0.795 (10)
accuracy             0.898 (10)
balanced_err         0.102 (10)
cross_corr           0.802 (10)
error_rate           0.102 (10)
pr_auc               0.920 (10)
precision            0.854 (10)
recall               0.961 (10)
roc_auc              0.947 (10)
specificity          0.834 (10)

