# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/both_pos/cgi_bothpos_enh_gc.bed data/fantom_prom/both_pos/cgi_bothpos_prom_gc.bed 2017-01-02 14:04:30.887859
#
#
#

spectrum6
F1                   0.713 (10)
WRACC                0.423 (10)
accuracy             0.712 (10)
balanced_err         0.288 (10)
cross_corr           0.425 (10)
error_rate           0.288 (10)
pr_auc               0.783 (10)
precision            0.706 (10)
recall               0.724 (10)
roc_auc              0.789 (10)
specificity          0.699 (10)

