# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/both_pos/cgi_bothpos_enh_narr.bed data/fantom_prom/both_pos/cgi_bothpos_prom_narr.bed 2017-01-02 14:05:10.091221
#
#
#

spectrum6
F1                   0.637 (10)
WRACC                0.233 (10)
accuracy             0.617 (10)
balanced_err         0.383 (10)
cross_corr           nan (10)
error_rate           0.383 (10)
pr_auc               0.815 (10)
precision            0.635 (10)
recall               0.717 (10)
roc_auc              0.717 (10)
specificity          0.517 (10)

