# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/both_pos/cgi_bothpos_enh_neg.bed data/fantom_prom/both_pos/cgi_bothpos_prom_neg.bed 2017-01-02 13:40:16.405755
#
#
#

spectrum6
F1                   0.762 (10)
WRACC                0.536 (10)
accuracy             0.768 (10)
balanced_err         0.232 (10)
cross_corr           0.537 (10)
error_rate           0.232 (10)
pr_auc               0.833 (10)
precision            0.781 (10)
recall               0.746 (10)
roc_auc              0.834 (10)
specificity          0.790 (10)

