# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/cgi_enh_broad_507_600bp.bed data/fantom_prom/cgi_prom_broad_507_600bp.bed 2017-01-02 10:27:32.332442
#
#
#

spectrum6
F1                   0.770 (10)
WRACC                0.544 (10)
accuracy             0.772 (10)
balanced_err         0.228 (10)
cross_corr           0.545 (10)
error_rate           0.228 (10)
pr_auc               0.830 (10)
precision            0.773 (10)
recall               0.769 (10)
roc_auc              0.834 (10)
specificity          0.775 (10)

