# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/both_pos/noncgi_bothpos_enh_gc.bed data/fantom_prom/both_pos/noncgi_bothpos_prom_gc.bed 2017-01-02 14:05:55.459207
#
#
#

spectrum6
F1                   0.744 (10)
WRACC                0.385 (10)
accuracy             0.693 (10)
balanced_err         0.307 (10)
cross_corr           nan (10)
error_rate           0.307 (10)
pr_auc               0.918 (10)
precision            0.666 (10)
recall               0.875 (10)
roc_auc              0.877 (10)
specificity          0.510 (10)

