# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/both_pos/noncgi_bothpos_enh_narr.bed data/fantom_prom/both_pos/noncgi_bothpos_prom_narr.bed 2017-01-02 14:05:34.893776
#
#
#

spectrum6
F1                   0.754 (10)
WRACC                0.381 (10)
accuracy             0.690 (10)
balanced_err         0.310 (10)
cross_corr           0.429 (10)
error_rate           0.310 (10)
pr_auc               0.905 (10)
precision            0.639 (10)
recall               0.929 (10)
roc_auc              0.881 (10)
specificity          0.452 (10)

