# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/both_pos/noncgi_bothpos_enh_neg.bed data/fantom_prom/both_pos/noncgi_bothpos_prom_neg.bed 2017-01-02 14:07:36.653661
#
#
#

spectrum6
F1                   0.888 (10)
WRACC                0.786 (10)
accuracy             0.893 (10)
balanced_err         0.107 (10)
cross_corr           0.791 (10)
error_rate           0.107 (10)
pr_auc               0.951 (10)
precision            0.891 (10)
recall               0.891 (10)
roc_auc              0.937 (10)
specificity          0.895 (10)

