# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/cgi_analysis/noncgi_enh_broad_89_600bp.bed data/fantom_prom/noncgi_prom_broad_600.bed 2017-01-02 10:24:14.850784
#
#
#

spectrum6
F1                   0.836 (10)
WRACC                0.629 (10)
accuracy             0.815 (10)
balanced_err         0.185 (10)
cross_corr           0.650 (10)
error_rate           0.185 (10)
pr_auc               0.923 (10)
precision            0.763 (10)
recall               0.932 (10)
roc_auc              0.923 (10)
specificity          0.697 (10)

