# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/subset/fantom_600bp_promMatch_9.bed data/fantom_prom/subset/int_prom_600_9.bed 2017-03-30 14:03:17.345728
#
#
#

spectrum6
F1                   0.806 (10)
WRACC                0.570 (10)
accuracy             0.785 (10)
balanced_err         0.215 (10)
cross_corr           0.585 (10)
error_rate           0.215 (10)
pr_auc               0.834 (10)
precision            0.734 (10)
recall               0.895 (10)
roc_auc              0.862 (10)
specificity          0.675 (10)

