# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/subset/int_prom_600_9.bed data/fantom_enh/subset/fantom_600bp_promMatch_9.bed 2017-03-30 14:16:44.454386
#
#
#

spectrum6
F1                   0.756 (10)
WRACC                0.566 (10)
accuracy             0.783 (10)
balanced_err         0.217 (10)
cross_corr           0.580 (10)
error_rate           0.217 (10)
pr_auc               0.880 (10)
precision            0.863 (10)
recall               0.673 (10)
roc_auc              0.861 (10)
specificity          0.893 (10)

