# ./bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config noncgi_promoters_600_2.bed noncgi_enhancers_subset_600_2.bed 2018-12-05 18:26:09.529973
#
#
#

spectrum6
F1                   0.673 (10)
WRACC                0.359 (10)
accuracy             0.679 (10)
balanced_err         0.321 (10)
cross_corr           0.359 (10)
error_rate           0.321 (10)
pr_auc               0.740 (10)
precision            0.687 (10)
recall               0.660 (10)
roc_auc              0.747 (10)
specificity          0.699 (10)

