# ./bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config cgi_enhancers_600.bed cgi_promoters_subset_2_600.bed 2018-12-06 11:12:45.117897
#
#
#

spectrum6
F1                   0.723 (10)
WRACC                0.428 (10)
accuracy             0.714 (10)
balanced_err         0.286 (10)
cross_corr           0.429 (10)
error_rate           0.286 (10)
pr_auc               0.766 (10)
precision            0.702 (10)
recall               0.746 (10)
roc_auc              0.784 (10)
specificity          0.682 (10)

