# ./bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config cgi_promoters_subset_2_600.bed cgi_enhancers_600.bed 2018-12-06 11:17:37.993207
#
#
#

spectrum6
F1                   0.707 (10)
WRACC                0.437 (10)
accuracy             0.719 (10)
balanced_err         0.281 (10)
cross_corr           0.439 (10)
error_rate           0.281 (10)
pr_auc               0.792 (10)
precision            0.736 (10)
recall               0.681 (10)
roc_auc              0.787 (10)
specificity          0.756 (10)

