# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/enhancers_filtered_600_1.bed data/roadmap_histones/subsets/filtered/promoters_filtered_600_1.bed 2018-08-17 14:35:47.798598
#
#
#

spectrum6
F1                   0.707 (10)
WRACC                0.412 (10)
accuracy             0.706 (10)
balanced_err         0.294 (10)
cross_corr           0.412 (10)
error_rate           0.294 (10)
pr_auc               0.770 (10)
precision            0.704 (10)
recall               0.711 (10)
roc_auc              0.776 (10)
specificity          0.701 (10)

