# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/promoters_filtered_600_1.bed data/roadmap_histones/subsets/filtered/enhancers_filtered_600_1.bed 2018-08-17 12:21:26.461043
#
#
#

spectrum6
F1                   0.703 (10)
WRACC                0.409 (10)
accuracy             0.705 (10)
balanced_err         0.295 (10)
cross_corr           0.410 (10)
error_rate           0.295 (10)
pr_auc               0.761 (10)
precision            0.708 (10)
recall               0.698 (10)
roc_auc              0.776 (10)
specificity          0.712 (10)

