neg_set	set	t_reg	predicted	cv_auc	rel	x_auc	rel_ling
gc	all	promoter	enhancer	0.945	0.671957671957672	0.635	0.728211009174312
gc	cgi	promoter	enhancer	0.947	0.813093980992608	0.77	0.895348837209302
gc	noncgi	promoter	enhancer	0.909	0.651265126512651	0.592	0.683602771362587
narr	all	promoter	enhancer	0.975	0.705641025641026	0.688	0.792626728110599
narr	cgi	promoter	enhancer	0.844	0.786729857819905	0.664	0.91334250343879
narr	noncgi	promoter	enhancer	0.947	0.588173178458289	0.557	0.675151515151515
neg	all	promoter	enhancer	0.997	0.75025075225677	0.748	0.806903991370011
neg	cgi	promoter	enhancer	0.998	0.98997995991984	0.988	0.995967741935484
neg	noncgi	promoter	enhancer	0.963	0.813084112149533	0.783	0.87
gc	all	enhancer	promoter	0.872	0.918577981651376	0.801	0.847619047619048
gc	cgi	enhancer	promoter	0.86	1.15348837209302	0.992	1.04751847940866
gc	noncgi	enhancer	promoter	0.866	0.812933025404157	0.704	0.774477447744774
narr	all	enhancer	promoter	0.868	1.08870967741935	0.945	0.969230769230769
narr	cgi	enhancer	promoter	0.727	1.0041265474553	0.73	0.864928909952607
narr	noncgi	enhancer	promoter	0.825	1.02909090909091	0.849	0.896515311510032
neg	all	enhancer	promoter	0.927	1.06688241639698	0.989	0.99197592778335
neg	cgi	enhancer	promoter	0.992	1.00403225806452	0.996	0.997995991983968
neg	noncgi	enhancer	promoter	0.9	1.04222222222222	0.938	0.974039460020768
