#Symbol (Human),Tissue specificity score
ABL1,0.21
PARP1,0.17
AEBP1,0.77
AES,0.16
NR0B1,3.31
AHR,0.96
BIN1,1.44
APBB1,1.18
APBB2,0.36
APC,1.2
AIRE,2.11
APEX1,0.07
AR,1.15
PHOX2A,3.72
ARNT,0.21
ARNTL,0.32
ASCL1,2.03
ATBF1,0.47
ATF1,0.31
ATF3,0.73
ATF4,0.22
ATM,0.34
RERE,0.22
ATRX,0.59
BACH1,0.56
BARD1,0.42
BCL3,0.37
BCL6,0.68
PRDM1,0.99
PCGF4,0.34
POLR3D,0.11
BRCA1,0.73
BRCA2,1.13
KLF9,0.63
KLF5,1.18
BTF3,0.08
BTG1,0.31
RUNX2,1.1
RUNX1,0.81
RUNX1T1,0.78
CBFA2T3,0.61
RUNX3,1.42
CBFB,0.22
CDC5L,0.42
CDX1,1.44
CDX2,3.67
CDX4,2.88
CEBPA,1.4
CEBPB,0.8
CEBPD,0.52
CEBPE,3.72
CEBPG,0.48
CENPB,0.11
CHD1,0.44
CHD4,0.07
ERCC8,0.15
KLF6,0.42
CRABP2,0.92
CREB1,0.27
ATF2,0.32
CREBBP,0.2
CREBL1,0.12
CREM,0.4
CRX,3.52
CRY1,0.32
CSRP2,0.8
NKX2-5,4.45
CTBP1,0.17
CTNNB1,0.18
CUTL1,0.19
DAB2,0.68
DACH1,0.68
DAXX,0.11
DBP,0.45
DDB1,0.2
DDB2,0.16
DDIT3,0.2
DDX5,0.27
DLX1,2.83
DLX2,3.86
DLX5,2.13
DMRT1,4.92
DNMT1,0.29
DNMT3A,0.41
DR1,0.15
ARID3A,0.9
TSC22D3,0.4
DTX1,1.4
E2F1,0.83
E2F2,2.7
E2F3,0.2
E2F4,0.19
E2F5,0.22
E2F6,0.29
E4F1,0.04
EBF,0.73
EEF1A1,0.21
EGR1,0.91
EGR2,1.01
EGR4,2.88
ELAVL2,2.22
ELF1,0.39
ELF2,0.31
ELF3,2.14
ELF4,0.74
ELF5,3.02
ELK1,0.33
ELK3,0.42
ELK4,1.63
EMX1,2.44
EMX2,1.64
EN1,1.88
EN2,3.61
EP300,0.18
EPAS1,1.38
NR2F6,0.26
ERCC2,0.11
ERCC3,0.1
ERCC6,0.27
ERG,0.59
ESR1,2.09
